alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
"Indy Bintaro Office Park, Gedung B, Jl. Boulevard Bintaro Jaya Blok B7/A6, Sektor VII, CBD Bintaro, Tangerang Selatan, 15224,PT. Datindo Entrycom,""Pendukung Minyak, Gas & Batu Bara"",""Jasa & Perlengkapan Minyak, Gas & Batu Bara"",corporate.secretary@petrosea.com,021-29770988,Jasa Konstruksi,PTRO,Petrosea Tbk,01.001.703.6-091.000,Utama,Energi,""Minyak, Gas & Batu Bara"",1990-05-21T00:00:00,021-29770999,www.petrosea.com";;;;;;
Jl Pelita VI No.99 Batam 29443,PT. Raya Saham Registra,Peralatan Jaringan,Peralatan Jaringan,corporate.secretary@satnusa.com,-,Industri Perakitan Elektronik,PTSN,Sat Nusapersada Tbk,01.530.807.5-054.000,Utama,Teknologi,Perangkat Keras & Peralatan Teknologi,2007-11-08T00:00:00,0778-5708888,http://www.satnusa.com;;;;;;
"Jl. Palmerah Utara No. 100
Jakarta Barat 11480,PT. EDI Indonesia,,,k_cendra@pioneerindo.com,5366-2012,Food and Beverages,PTSP,Pioneerindo Gourmet International Tbk,01.375.584.8-054.000,PENGEMBANGAN,""TRADE, SERVICES & INVESTMENT"",RETAIL TRADE,1994-05-30T00:00:00,""5366-8999, 5366-2013"",www.cfcindonesia.com";;;;;;
"Gedung Jayakarta Hotel Lt. 21 	
Jl. Hayam Wuruk 126
Jakarta, Barat  11180
,PT. EDI Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,erna@pudjiadiprestige.co.id"; info@pudjiadiprestige.co.id,021 - 6240981,Property dan Real Estate,PUDP,Pudjiadi Prestige Tbk,01.318.007.0-054.000,UTAMA,Properti & Real Estat,Properti & Real Estat,1994-11-18T00:00:00,021 - 6241030,www. pudjiadiprestige.co.id;;;;;
Jl. Rungkut Industri I Blok F No. 10, Kendangsari, Tenggilis Mejoyo – Surabaya 60292,PT. Bima Registra,Logistik & Pengantaran,Logistik & Pengantaran,info@puratrans.com,(031) 99850898,Transportasi,PURA,PT Putra Rajawali Kencana Tbk.,31.531.863.4-615.000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2020-01-22T00:00:00,(031) 99013573,http://puratrans.com/;;;;;;
"Jl. Parung Tanjung No. 89 Cicadas
Gunung Putri – Bogor 16964,PT. Bima Registra,Logam & Mineral,Logam & Mineral Lainnya,corporate@trinitanmetals.com,+62 21 867 0562,Bergerak dalam usaha pengolahan logam dan mineral,PURE,PT Trinitan Metals and Minerals Tbk,21.107.952.0-431.000,Utama,Barang Baku,Barang Baku,2019-10-09T00:00:00,+62 21 867 8999,www.trinitanmetals.co.id";;;;;;
"Komp. Ruko Mahkota Raya, 
Blok D No. 12A
Kel. Teluk Tering, Kec. Batam Kota
Kota Batam, Kepulauan Riau 29461,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corser@puriglobalsukses.com,0,""Bergerak dalam bidang real estat, konstruksi, pembangunan, pengembang, jasa dan investasi"",PURI,PT Puri Global Sukses Tbk,75.255.884.1-225.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-09-08T00:00:00,(0778) 4801509,www.puriglobalsukses.com";;;;;;
"EastCoast Center Lantai 5 
Pakuwon Town Square-Pakuwon City
Jl. Kejawan Putih Mutiara 17
Surabaya,PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,""Minartobasuki@pakuwon.com";;;;;;
"reniepoegoeh@pakuwon.com"",No. Fax (031) 58208798,Property dan Real Estate,PWON,Pakuwon Jati Tbk,01.232.504.9-054.000,UTAMA,Properti & Real Estat,Properti & Real Estat,1989-10-09T00:00:00,No. Tel (031) 58208788,www.pakuwonjati.com";;;;;;
Sinarmas MSIG Tower, Lantai 12 Jl. Jendral Sudirman Kav. 21, RT10/RW1, Kuningan, Karet, Kec. Setiabudi, Jakarta Selatan 12920,,Farmasi,Farmasi,corsec@pyfa.co.id,-,Farmasi,PYFA,Pyridam Farma Tbk,01.313.863.1-054.000,Pengembangan,Kesehatan,Farmasi & Riset Kesehatan,2001-10-16T00:00:00,(+6221) 50991067,www.pyfa.co.id;;;;;;
"Jl. Jenderal Gatot Subroto Kav. 1.000 Kecamatan Tebet Jakarta Selatan 12870,PT. Datindo Entrycom,Pariwisata & Rekreasi,Rumah Makan,corsec@sarimelatikencana.co.id,-,""Bergerak dalam bisnis restoran, katering, pergudangan, distribusi, dan industri makanan dan pengolahan bahan makanan (termasuk roti dan kue)"",PZZA,PT Sarimelati Kencana Tbk.,01.323.964.5-092.000,Utama,Barang Konsumen Non-Primer,Jasa Konsumen,2018-05-23T00:00:00,021-50966789,http://www.sarimelatikencana.co.id";;;;;;
"Beltway Office Park Tower A lt.3
Jl. Ampera Raya RW2
Kota Jakarta Selatan 12540,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,Rumah Makan,corporatesecretary@skbfood.id,(021) 7463 7390,Perdagangan dan Jasa,RAFI,PT Sari Kreasi Boga Tbk,83.328.015.9-016.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2022-08-05T00:00:00,(021) 7463 7390,www.skbfood.id";;;;;;
"Office Park Thamrin Residences Blok A. No. 01-05 Jl. Thamrin Boulevard, Kebon. Melati, Tanah Abang Jakarta 10230 Indonesia,PT. Ficomindo Buana Registrar,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,corsec@raja.co.id,021 2357 9803,Jasa Konstruksi/Penyewaan,RAJA,Rukun Raharja Tbk,01.581.976.6-054.000,Utama,Energi,""Minyak, Gas & Batu Bara"",2006-04-19T00:00:00,021 2929 1053,www.raja.co.id";;;;;;
"Jl. KH. Wahid Hasyim No. 220 A-B Jakarta 10250 ,PT. Sinartama Gunita,Department Store,Department Store,setyadi.surya@ramayana.co.id ,-,""Perdagangan Umum, ritel, kafe restoran"",RALS,Ramayana Lestari Sentosa Tbk,01.365.481.9-092.000 ,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,1996-07-24T00:00:00,3914566,http://www.ramayana.co.id ";;;;;;
Ranch Market Headquarter Lt. 5, Jl. Pesanggrahan Raya No. 2, Kembangan - Jakarta Barat 11610,PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,Supermarket,corp_sec@ranchmarket.co.id,(62-21) 5835 0999,Distribusi dan perdagangan eceran dengan format pengelola jaringan,RANC,Supra Boga Lestari Tbk,01.821.420.5-054.000,Pengembangan,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,2012-06-07T00:00:00,(62-21) 5835 1999,Website: www. ranchmarket.co.id;;;;;;
"Gedung Ribens Autocars Jl. Fatmawati No. 188 Jakarta 12420,PT. Sirca Datapro Perdana,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@ristiagroup.com,7511025,Property dan Real Estate,RBMS,Ristia Bintang Mahkotasejati Tbk,01.375.078.1-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1997-12-19T00:00:00,""7511441, 7505000"",www.ristiagroup.com";;;;;;
"Gedung STC Senayan, Lantai 2
Jl. Asia Afrika Pintu IX Gelora
Tanah Abang 10270,PT. Bima Registra,Logistik & Pengantaran,Logistik & Pengantaran,corpsecretary@utamaradarcahaya.com,(021) 57930077,Bergerak di Bidang Jasa Pengurusan Transportasi,RCCC,PT Utama Radar Cahaya Tbk,31.509.887.1-007.000,Akselerasi,Transportasi & Logistik,Logistik & Pengantaran,2022-08-02T00:00:00,(021) 57930507,www.utamaradarcahaya.com";;;;;;
"Menara Standard Chartered Lt. 32
Jl. Prof. Dr. Satrio No. 164 Jakarta Selatan,PT. Blue Chip Mulia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,geno@rodavivatex.co.id,""(021) 25532255, 25532266"",Perdagangan,RDTX,Roda Vivatex Tbk,01.105.448.3-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1990-05-14T00:00:00,(021) 25532222 (Hunting) ,http://www.rodavivatex.co.id";;;;;;
Gedung Graha Repower Asia Jl. Warung Buncit Raya No. 65 Jakarta Selatan 12740,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corporate.secretary@repowerasiaindonesia.com,(021) 2503 3399,Real Estat yang dimiliki sendiri atau disewa,REAL,PT Repower Asia Indonesia Tbk.,70.676.823.1-412.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2019-12-06T00:00:00,(021) 2503 3198,http://repowerasiaindonesia.co.id;;;;;;
Soho Westpoint Kota Kedoya Jalan Macan Kav. 4-5 Kedoya Utara Kebon Jeruk Jakarta Barat,PT. Bima Registra,Jasa Investasi,Bank Investasi & Perantara Perdagangan,corsec@reliancesekuritas.com,021-29119951,Securities Company,RELI,Reliance Sekuritas Indonesia Tbk,01.349.347.3-054.000,Utama,Keuangan,Jasa Investasi,2005-07-13T00:00:00,021-29520558,www.reliancesekuritas.com;;;;;;
"Jl. Sawah Lio II No. 29-37
Jakarta
,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,,,rpg@cbn.net.id,(021) 633-8642";" 6332246,Industri Pakaian Jadi,RICY,Ricky Putra Globalindo Tbk,01.319.696.9-054.000,UTAMA,MISCELLANEOUS INDUSTRY,""TEXTILE, GARMENT"",1998-01-22T00:00:00,""(021) 634-37-35 (Direct) 634-23-30, 632-77-70 (24 Lines)"",";;;;;
"GENERALI TOWER, GRAN RUBINA BUSINESS PARK, 18th floor, Unit D. Kawasan Rasuna Epicentrum, Jl. HR Rasuna Said, Jakarta Selatan 12940,PT. Raya Saham Registra,Batu Bara,Distribusi Batu Bara,rtacc@scomienergy.com,-,Transportation,RIGS,Rig Tenders Tbk,01.002.171.5-054.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",1990-03-05T00:00:00,021-2527628"; 021-2527402,www.rigtenders.co.id ;;;;;
"Jl.  Pasar Baru No. 68 - 70
Jakarta Pusat 10710,PT. Sinartama Gunita,,,pahalasilaban@yahoo.co.id,021 - 3519555,Retail Trade ,RIMO,PT Rimo International Lestari Tbk.,01.322.971.1-054.000,PENGEMBANGAN,""TRADE, SERVICES & INVESTMENT"",RETAIL TRADE,2000-11-10T00:00:00,021 - 3518001,http://www.rimo.co.id";;;;;;
"Jl. Ruko Sentral Square C3, Jl. Ahmad Yani 41-43, Desa Gedangan, Kecamatan Gedangan, Kabupaten Sidoarjo,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@tanrise.com,031 8545792,""Pengembangan, Jasa dan Pengelolaan Properti dan real estate"",RISE,PT Jaya Sukses Makmur Sentosa Tbk.,02.210.878.1-641.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2018-07-09T00:00:00,031 8544400,http://www.tanrise.com";;;;;;
"Capital Place Office Tower Lantai 6, Jalan Gatot Subroto Kavling 18, Jakarta Selatan 12710,PT. Datindo Entrycom,Rokok,Rokok,id_corpsec@bat.com,(021) 22770111,""aktivitas konsultasi manajemen, perdagangan umum, pembangunan, perindustrian, pertanian, pengangkutan, percetakan, multimedia melalui perangkat satelit dan perangkat telekomunikasi lainnya, jasa dan industri"",RMBA,Bentoel International Investama Tbk,01.329.700.7-054.000,Utama,Barang Konsumen Primer,Rokok,1990-03-05T00:00:00,(021) 5268388,www.bentoelgroup.com";;;;;;
"Wisma RMK Lantai 2
Jalan Puri Kencana Blok M4/1 RT/RW 002/007 
Kembangan Selatan, Jakarta Barat
DKI Jakarta 11610
,PT. Adimitra Jasa Korpora,Batu Bara,Distribusi Batu Bara,rmk@ptrmk.com,(021) 582 2555,Bergerak dalam bidang pertambangan batubara dan aktivitas perusahaan holding,RMKE,PT RMK Energy Tbk,21.103.657.9-086.000,Utama,Energi,""Minyak, Gas & Batu Bara"",2021-12-07T00:00:00,(021) 582 2555,www.rmkenergy.com";;;;;;
"Gedung Noble House Lantai 35, 
Jl. Dr. Ide Anak Agung Gde Agung Kav E.4.2 No. 2, Mega Kuningan, 
Jakarta Selatan 12950,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@rockfields.co.id,+62 21 2978 3001,Real estate dan properti melalui Entitas anak,ROCK,PT Rockfields Properti Indonesia Tbk.,03.344.468.8-063.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-09-10T00:00:00,+62 21 2978 3000,www.rockfields.co.id";;;;;;
"Sahid Sudirman Residence 3rd floor
Jl. Jend. Sudirman No. 86
Jakarta 10220,PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,kwan_silvana@yahoo.com,021-29022888,Property dan Real Estate,RODA,Pikko Land Development Tbk,01.621.610.3-054.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2001-10-22T00:00:00,021-52970288,-";;;;;;
"Noble House 36th Floor 3E
Jl. Dr. Ide Anak Agung Gde Agung Kav. E 4.2 No.2 Mega Kuningan, Kel. Kuningan Timur, Kec. Setiabudi, JakSel, Indonesia 12950,PT. Datindo Entrycom,Konstruksi Bangunan,Konstruksi Bangunan,corporate@aeslergroup.com,0,Arsitektur,RONY,PT Aesler Grup Internasional Tbk,83.013.970.5-067.000,Pengembangan,Infrastruktur,Konstruksi Bangunan,2020-04-09T00:00:00,+62 21 29183111,www.aeslergroup.com";;;;;;
"Jl. Selayar Blok A9, Kawasan Industri MM2100, Desa Mekarwangi, Cikarang Barat, Bekasi, Jawa Barat 17520,,Makanan Olahan,Makanan Olahan,corporate.secretary@sariroti.com,021- 89844955,Industri Makanan dan Minuman,ROTI,PT Nippon Indosari Corpindo Tbk,01.070.996.2-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2010-06-28T00:00:00,""021- 89983876, 89844953"",www.sariroti.com";;;;;;
"RS Grha Kedoya
Jalan Panjang Arteri No. 26, Kedoya Utara, Kebon Jeruk, Jakarta 11520,PT. Raya Saham Registra,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,corporate.secretary@grhakedoya.com,(021)56982233,Bergerak di bidang Aktivitas Rumah Sakit Swasta"; Aktivitas Praktik Dokter Umum; Aktivitas Praktik Dokter Spesialis;Aktivitas Praktik Dokter Gigi; Aktivitas Pelayanan Kesehatan yang dilakukan oleh Paramedis;Perdagangan Eceran Barang Farmasi di Apotek; dan Aktivitas Poliklinik Swasta.,RSGK,PT Kedoya Adyaraya Tbk,015394174038000,Utama,Kesehatan,Jasa & Peralatan Kesehatan,2021-09-08T00:00:00,(021)29910999,www.grhahospitals.com
"Kapten Tendean No. 24
Jakarta 12720,PT. Datindo Entrycom,""Pendukung Minyak, Gas & Batu Bara"",""Jasa & Perlengkapan Minyak, Gas & Batu Bara"",corsec@radiant.co.id";" mona.nazaruddin@radiant.co.id,7191002,Kontraktor penambangan,RUIS,Radiant Utama Interinsco Tbk,01.371.814.3-081.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2006-07-12T00:00:00,7191020, www.radiant.co.id";;;;;
"Grha RUN System
Jl. Pakuningratan No. 15, Yogyakarta, 55233,PT. Sinartama Gunita,Perangkat Lunak,Perangkat Lunak,corporate.secretary@runsystem.id,,""Perusahaan yang bergerak di bidang Informasi dan Komunikasi serta Perdagangan Besar dan Eceran Piranti Lunak, Komputer dan Perlengkapannya"",RUNS,PT Global Sukses Solusi Tbk,70.935.416.1-542.000,Akselerasi,Teknologi,Perangkat Lunak & Jasa TI,2021-09-08T00:00:00,(0274) 5306454,www.runsystem.id";;;;;;
"Gedung Satrio Tower Lt.15
Jl. Prof. DR Satrio Kav 1-4 Blok C4 Karet Kuningan - Jak Sel,PT. Sinartama Gunita,Pengangkutan Darat Penumpang,Transportasi Jalanan,steady_safetbk@yahoo.com,021-27883410,Transportation,SAFE,Steady Safe Tbk,01.000.927.2-054.000,PENGEMBANGAN,Transportasi & Logistik,Transportasi ,1994-08-15T00:00:00,021-27883411,www.steadysafe.co.id";;;;;;
Jl. Pulomas Barat VI No. 20 Kayu Putih, Pulo Gadung, Jakarta Timur 13210,PT. Bima Registra,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,corsec@emc.id,(021) 29779969,Penyelenggaraan Rumah Sakit,SAME,Sarana Meditama Metropolitan Tbk,01.391.523.6-054.000,Pengembangan,Kesehatan,Jasa & Peralatan Kesehatan,2013-01-11T00:00:00,(021) 29779977,www.emc.id;;;;;;
"Surya Inti Permata Juanda Super Blok A-52, Jl. Raya Juanda, Wedi, Gedangan, Sidoarjo, Jawa Timur,PT. Adimitra Jasa Korpora,Barang Kimia,Barang Kimia Pertanian,corsec@saraswanti.com,(031) 82516555,""Produksi, Pemasaran dan Perdagangan Pupuk"",SAMF,PT Saraswanti Anugerah Makmur Tbk.,01.829.333.2-641.000,Utama,Barang Baku,Barang Baku,2020-03-31T00:00:00,(031) 82516888,www.saraswantifertilizer.com";;;;;;
"Kalibata Office Park, Jl. Raya Pasar Minggu No. 21 Blok G, Jakarta Selatan, 12740,PT. Raya Saham Registra,Logistik & Pengantaran,Logistik & Pengantaran,corp.secretary@sap-express.com,(021) 22806627,""Bergerak dalam bidang Jasa Titipan, Ekspedisi dan Pergudangan, Transportasi dan Pengangkutan, Percetakan, Keagenan, Outsourcing dan Transaksi Keuangan"",SAPX,PT Satria Antaran Prima Tbk.,70.837.829.4-061.000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2018-10-03T00:00:00,(021) 22806611,www.sap-express.id";;;;;;
Jl. MT. Haryono Ruko The Amaya CA 1-3 Ungaran – Kabupaten Semarang 50511 ,PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@kotasatuproperti.com ,+62 24 7690 1749 ,Properti & Real Estate,SATU,PT Kota Satu Properti Tbk.,31.606.205.8-505.001,Pengembangan,Properti & Real Estat,Properti & Real Estat,2018-11-05T00:00:00,+62 24 7690 1735; +62 24 7690 1000 ,www.kotasatuproperti.com ;;;;;
"Jl. Raya Cicalengka – Majalaya KM. 5
Desa Sri Rahayu, Kecamatan Cikancung
Bandung – Jawa Barat
40396, Indonesia,PT. Ficomindo Buana Registrar,Pakaian & Barang Mewah,Tekstil,corsec@sbatextile.com,(022) 7947 200,Industri dan Perdagangan Tekstil,SBAT,PT Sejahtera Bintang Abadi Textile Tbk.,02.176.347.9-441.000,Pengembangan,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,2020-04-08T00:00:00,(022) 7947 100/ 400,www.sbatextile.com";;;;;;
"Jl. Jend. Sudirman No. 5-6, RT 016
Kelurahan Klandasan Ilir, Kecamatan Balikpapan Kota
Balikpapan, Kalimantan Timur 76113,PT. Bima Registra,Barang Kimia,Barang Kimia Dasar,corsec@suryabiru.com,,Industri kimia anorganik gas,SBMA,PT Surya Biru Murni Acetylene Tbk,01.150.545.0-725.000,Pengembangan,Barang Baku,Barang Baku,2021-09-08T00:00:00,+62542 733600,www.suryabirumurni.co.id";;;;;;
"Jl. Kebon Sirih No. 71 
Jakarta  10340,PT. Sinartama Gunita,Kelistrikan,Komponen & Peralatan Kelistrikan,sccfin@cbn.net.id"; corpsec@sucaco.com,(021) 31931119,Industri Kabel,SCCO,PT Supreme Cable Manufacturing & Commerce Tbk,01.000.889.4-054.000,Utama,Perindustrian,Barang Perindustrian,1982-07-20T00:00:00,(021) 3100525,0;;;;;
"SCTV Tower -Senayan City
Jl. Asia Afrika Lot.19
Jakarta 10270,PT. Raya Saham Registra,Media,Penyiaran,corsec@scm.co.id,2793 5598,Media,SCMA,Surya Citra Media Tbk,01.904.039.3-054.000,Utama,Barang Konsumen Non-Primer,Media & Hiburan,2002-07-16T00:00:00,2793 5599,http://www.scm.co.id";;;;;;
"Jalan Raya Narogong Km. 19
Dusun Pasir Angin, Cileungsi, Bogor
Jawa Barat 16820,PT. Datindo Entrycom,Barang Rumah Tangga,Peralatan Rumah Tangga,corsec@scnp.co.id,(021) 8230232,""industri peralatan rumah tangga, perdagangan besar peralatan dan perlengkapan rumah tangga"",SCNP,PT Selaras Citra Nusantara Perkasa Tbk,01.962.089.7-436.001,Pengembangan,Barang Konsumen Non-Primer,Barang Rumah Tangga,2020-09-07T00:00:00,(021) 8233320,www.scnp.co.id";;;;;;
Wisma BNI 46 Kota BNI LT. 27 Suite 27.01 Jl. Jendral Sudirman Kav. 1 Karet Tengsin Tanah Abang Jakarta Pusat - 10220,PT. Ficomindo Buana Registrar,Pharmaceuticals,Pharmaceuticals,sari.riska.hegar@merck.com,-,Industri Farmasi,SCPI,PT Organon Pharma Indonesia Tbk,01.001.702.8-054.000,,Healthcare,Pharmaceuticals & Health Care Research,1990-08-06T00:00:00,021 - 5789 7000,;;;;;;
"Jl. Gunung Sahari III No. 12 A
Jakarta 10610,PT. Adimitra Jasa Korpora,Logistik & Pengantaran,Logistik & Pengantaran,jonathan_w@sidomulyo.com,(021) 4266020,Jasa Transportasi darat khusus Bahan Berbahaya dan Beracun (B3),SDMU,Sidomulyo Selaras Tbk,01.592.233.9-054.000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2011-07-12T00:00:00,(021) 4266002,www.sidomulyo.com";;;;;;
Crown Bungur Arteri Lantai 2-4, Jl. Sultan Iskandar Muda No.18, Kel. Kebayoran Lama Selatan, Kec. Kebayoran Lama, Jakarta Selatan 12220,PT. Raya Saham Registra,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,investor.relation@mpi-pharmaniaga.co.id,021-270 85958,Perdagangan dan Jasa,SDPC,Millennium Pharmacon International Tbk,01.300.861.0-054.000,Utama,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,1990-05-07T00:00:00,021-270 85961; 270 85964,www.mpi-indonesia.co.id;;;;;
"Gedung Treasury Tower Lt. 26 & 27
District 8, SCBD Lot. 28
Jl. Jend. Sudirman Kav. 52 - 53
Jakarta ,PT. Sinartama Gunita,Bank,Bank,saudara@bankwoorisaudara.com,(62-21) 50871900,Perbankan,SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,01.148.782.4-054.000,Utama,Keuangan,Bank,2006-12-15T00:00:00,(62-21) 50871906,www.bankwoorisaudara.com";;;;;;
"Jalan Intan I KP. Poncol, RT 001, RW 001, Kel. Curug, Kec. Gunung Sindur, Kab. Bogor, Prov. Jawa Barat,PT. Adimitra Jasa Korpora,Peralatan Energi Alternatif,Peralatan Energi Alternatif,nfo@semacom-integrated.com,+62 251 861 5874,""Bergerak dalam kegiatan usaha Produksi Panel listrik, Perakitan Baterai Listrik dan Energi Terbarukan"",SEMA,PT Semacom Integrated Tbk,21.137.319.6-411.000,Pengembangan,Energi,Energi Alternatif,2022-01-10T00:00:00,+62 251 8615872,https://semacom.co.id/dewan-komisaris/";;;;;;
"Satrio Tower Lantai 14, Jalan Prof. Dr. Satrio Kav. C4 Kawasan Mega Kuningan, Jakarta Selatan 12950, Indonesia,PT. Adimitra Jasa Korpora,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,corporate@sfcapital.co.id,+62 21 2598 1342,""Bergerak dalam bidang investasi, jasa, konsultasi manajemen dan bisnis, perdagangan dan keuangan serta bergerak dibidang Jasa Keuangan lainnya melalui Perusahaan Anak."",SFAN,PT Surya Fajar Capital Tbk,76.573.695.4-077.000,Pengembangan,Keuangan,Perusahaan Holding & Investasi,2019-06-19T00:00:00,+62 21 2251 3339,www.sfcapital.co.id";;;;;;
"Graha BIP Lantai 2, Jalan Gatot Subroto Kav. 23, Jakarta Selatan 12930,PT. Adimitra Jasa Korpora,Batu Bara,Distribusi Batu Bara,corsec@sumberglobalenergy.com,021-2500243,""Perdagangan Besar Bahan Bakar Padat, Cair, Gas, Energi Terbaru dan Terbarukan serta Pertambangan Logam dan Mineral Tanah Jarang (Rare Earth) di Perusahaan Anak"",SGER,PT Sumber Global Energy Tbk.,02.795.370.2-081.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2020-08-10T00:00:00,021-2500120,www.sumberglobalenergy.co.id";;;;;;
"Sampoerna Strategic Square
North, Lt. 28
Jl. Jend. Sudirman Kav. 45
Jakarta 12930,,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,eris.ariaman@sampoernaagro.com,021-577 1712,Agriculture Plantation,SGRO,PT Sampoerna Agro Tbk,01.598.906.4-054-000,Utama,Barang Konsumen Primer,Makanan & Minuman,2007-06-18T00:00:00,021-577 1711,www.sampoernaagro.com";;;;;;
"Jl. Jend. Sudirman No. 86 
Jakarta - 10220,PT. Datindo Entrycom,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",a,5701619,Hotel and Tourism,SHID,Hotel Sahid Jaya Tbk,01.002.979.1-054.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,1990-05-08T00:00:00,5703232,www.pthsji.com";;;;;;
